/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/1.jpg@n04090263 rifle@0.5449219@n02749479 assault rifle, assault gun@0.13891602@n02804610 bassoon@0.046173096@n03272010 electric guitar@0.0335083@n04487394 trombone@0.032226562@93.957054
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/2.jpg@n02749479 assault rifle, assault gun@0.66308594@n04090263 rifle@0.3334961@n04086273 revolver, six-gun, six-shooter@0.0019989014@n03527444 holster@0.000623703@n04008634 projectile, missile@0.0002746582@93.912895
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/3.jpeg@n04090263 rifle@0.60839844@n02749479 assault rifle, assault gun@0.36889648@n04008634 projectile, missile@0.009757996@n03773504 missile@0.006351471@n02950826 cannon@0.003850937@93.694275
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/4.jpg@n02749479 assault rifle, assault gun@0.6645508@n04090263 rifle@0.32128906@n04086273 revolver, six-gun, six-shooter@0.010574341@n02879718 bow@0.0009493828@n04485082 tripod@0.000341177@93.56312
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/5.jpg@n04090263 rifle@0.6425781@n02749479 assault rifle, assault gun@0.25756836@n04008634 projectile, missile@0.028671265@n02950826 cannon@0.025314331@n03773504 missile@0.0062026978@93.83873
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/6.jpg@n02749479 assault rifle, assault gun@0.91748047@n04090263 rifle@0.080200195@n04086273 revolver, six-gun, six-shooter@0.0023097992@n03527444 holster@0.00034594536@n02328150 Angora, Angora rabbit@0@93.74647
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/7.jpg@n02749479 assault rifle, assault gun@0.6323242@n04090263 rifle@0.3659668@n04086273 revolver, six-gun, six-shooter@0.0017900467@n04008634 projectile, missile@0.00024986267@n03773504 missile@8.177757E-05@93.86888
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/8.jpg@n04090263 rifle@0.5786133@n02749479 assault rifle, assault gun@0.30737305@n04208210 shovel@0.04675293@n03498962 hatchet@0.025817871@n03967562 plow, plough@0.015792847@93.67061
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/9.jpg@n04086273 revolver, six-gun, six-shooter@0.33154297@n03995372 power drill@0.19348145@n02749479 assault rifle, assault gun@0.17883301@n04090263 rifle@0.10430908@n04067472 reel@0.08453369@93.66026
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/10.jpg@n02749479 assault rifle, assault gun@0.78271484@n04090263 rifle@0.21728516@n15075141 toilet tissue, toilet paper, bathroom tissue@0@n02317335 starfish, sea star@0@n02389026 sorrel@0@93.88513
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/11.jpg@n02749479 assault rifle, assault gun@0.73339844@n04090263 rifle@0.265625@n04086273 revolver, six-gun, six-shooter@0.0009727478@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.94816
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/12.jpeg@n02749479 assault rifle, assault gun@0.79248047@n04090263 rifle@0.20678711@n04086273 revolver, six-gun, six-shooter@0.00013792515@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.50496
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/13.jpg@n02749479 assault rifle, assault gun@0.8432617@n04090263 rifle@0.14880371@n02879718 bow@0.004459381@n04086273 revolver, six-gun, six-shooter@0.0018444061@n03527444 holster@0.00038051605@93.38543
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/14.jpg@n02749479 assault rifle, assault gun@0.81591797@n04090263 rifle@0.12322998@n03995372 power drill@0.029953003@n04086273 revolver, six-gun, six-shooter@0.024642944@n03527444 holster@0.003107071@93.76715
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/15.jpg@n04376876 syringe@0.19909668@n04154565 screwdriver@0.19604492@n02749479 assault rifle, assault gun@0.17163086@n04090263 rifle@0.076171875@n03995372 power drill@0.06933594@93.74287
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/16.jpg@n02749479 assault rifle, assault gun@0.8027344@n04090263 rifle@0.19677734@n04086273 revolver, six-gun, six-shooter@0.00071525574@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.82365
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/17.jpg@n02749479 assault rifle, assault gun@0.5605469@n04090263 rifle@0.41992188@n04141327 scabbard@0.009796143@n04008634 projectile, missile@0.003660202@n03773504 missile@0.0035190582@93.98116
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/18.jpg@n04090263 rifle@0.55029297@n02749479 assault rifle, assault gun@0.44921875@n04086273 revolver, six-gun, six-shooter@0.00042247772@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.438866
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/19.jpg@n02749479 assault rifle, assault gun@0.85839844@n04090263 rifle@0.11987305@n03763968 military uniform@0.013870239@n02916936 bulletproof vest@0.007663727@n03527444 holster@0.00032138824@93.82527
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/20.jpg@n02749479 assault rifle, assault gun@0.60791016@n04090263 rifle@0.39233398@n04086273 revolver, six-gun, six-shooter@0.00014126301@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.70759
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/21.jpg@n02749479 assault rifle, assault gun@0.44628906@n04090263 rifle@0.41601562@n04086273 revolver, six-gun, six-shooter@0.061828613@n04008634 projectile, missile@0.01828003@n02966687 carpenter's kit, tool kit@0.01612854@93.66049
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/22.jpg@n03000684 chain saw, chainsaw@0.15917969@n02749479 assault rifle, assault gun@0.1394043@n04090263 rifle@0.13830566@n03272010 electric guitar@0.109436035@n03372029 flute, transverse flute@0.075805664@93.80222
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/23.jpg@n04090263 rifle@0.5253906@n02749479 assault rifle, assault gun@0.4189453@n03000684 chain saw, chainsaw@0.012069702@n02879718 bow@0.01008606@n03763968 military uniform@0.008163452@93.72413
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/24.jpeg@n02749479 assault rifle, assault gun@0.90283203@n04090263 rifle@0.09667969@n04086273 revolver, six-gun, six-shooter@0.00013446808@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.6836
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/25.jpg@n02749479 assault rifle, assault gun@0.8989258@n04090263 rifle@0.10083008@n04086273 revolver, six-gun, six-shooter@0.00011444092@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.47582
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/26.jpg@n02749479 assault rifle, assault gun@0.9038086@n04090263 rifle@0.0960083@n04141327 scabbard@0.00031518936@n04086273 revolver, six-gun, six-shooter@0.0001142025@n03527444 holster@0.00011152029@111.8253
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/27.jpg@n02749479 assault rifle, assault gun@0.8935547@n04090263 rifle@0.10675049@n15075141 toilet tissue, toilet paper, bathroom tissue@0@n02317335 starfish, sea star@0@n02389026 sorrel@0@93.79441
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/28.jpg@n04090263 rifle@0.5605469@n02749479 assault rifle, assault gun@0.25268555@n04086273 revolver, six-gun, six-shooter@0.05255127@n03041632 cleaver, meat cleaver, chopper@0.024047852@n04141327 scabbard@0.020431519@93.95684
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/29.jpg@n02749479 assault rifle, assault gun@0.69970703@n04090263 rifle@0.25952148@n04086273 revolver, six-gun, six-shooter@0.016723633@n04592741 wing@0.0062446594@n04552348 warplane, military plane@0.0023517609@93.58523
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/30.jpeg@n02749479 assault rifle, assault gun@0.95947266@n04090263 rifle@0.0395813@n04086273 revolver, six-gun, six-shooter@0.00037622452@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.79067
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/31.jpg@n04090263 rifle@0.34204102@n02749479 assault rifle, assault gun@0.21411133@n02916936 bulletproof vest@0.1505127@n03763968 military uniform@0.09643555@n02672831 accordion, piano accordion, squeeze box@0.02722168@93.581924
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/32.jpg@n04090263 rifle@0.6455078@n02749479 assault rifle, assault gun@0.35083008@n04086273 revolver, six-gun, six-shooter@0.003232956@n02879718 bow@0.00014531612@n04485082 tripod@8.4102154E-05@93.557045
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/33.jpg@n02749479 assault rifle, assault gun@0.85253906@n04090263 rifle@0.14575195@n04086273 revolver, six-gun, six-shooter@0.0010709763@n03527444 holster@0.00020599365@n02328150 Angora, Angora rabbit@0@93.79129
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/34.jpg@n02749479 assault rifle, assault gun@0.50634766@n02916936 bulletproof vest@0.15563965@n04090263 rifle@0.1352539@n03763968 military uniform@0.11480713@n03424325 gasmask, respirator, gas helmet@0.048583984@93.6928
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/35.jpeg@n02749479 assault rifle, assault gun@0.59472656@n02916936 bulletproof vest@0.23474121@n04090263 rifle@0.070495605@n03763968 military uniform@0.031280518@n04336792 stretcher@0.028930664@94.23668
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/36.jpg@n04090263 rifle@0.7211914@n02749479 assault rifle, assault gun@0.26733398@n03000684 chain saw, chainsaw@0.003698349@n04536866 violin, fiddle@0.0019025803@n02879718 bow@0.0018444061@93.78135
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/37.jpg@n04086273 revolver, six-gun, six-shooter@0.5654297@n04090263 rifle@0.16455078@n02749479 assault rifle, assault gun@0.13537598@n03498962 hatchet@0.066467285@n03527444 holster@0.021087646@93.89799
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/38.jpg@n04090263 rifle@0.5332031@n02749479 assault rifle, assault gun@0.46313477@n04086273 revolver, six-gun, six-shooter@0.0031719208@n03763968 military uniform@7.170439E-05@n02328150 Angora, Angora rabbit@0@93.215996
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/39.jpg@n04090263 rifle@0.23657227@n03527444 holster@0.13061523@n02749479 assault rifle, assault gun@0.12084961@n03000684 chain saw, chainsaw@0.11090088@n03481172 hammer@0.09484863@93.824615
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/40.jpg@n04090263 rifle@0.36083984@n02749479 assault rifle, assault gun@0.24609375@n04086273 revolver, six-gun, six-shooter@0.18432617@n04154565 screwdriver@0.043792725@n02966687 carpenter's kit, tool kit@0.031280518@93.90365
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/41.jpg@n02966687 carpenter's kit, tool kit@0.11810303@n04086273 revolver, six-gun, six-shooter@0.09790039@n04153751 screw@0.07623291@n03481172 hammer@0.05493164@n04154565 screwdriver@0.045898438@93.76477
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/42.jpg@n02749479 assault rifle, assault gun@0.7558594@n04090263 rifle@0.22351074@n04086273 revolver, six-gun, six-shooter@0.0135269165@n03527444 holster@0.007019043@n02879718 bow@0.00027632713@93.76082
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/43.jpg@n04086273 revolver, six-gun, six-shooter@0.8911133@n04141327 scabbard@0.051086426@n04090263 rifle@0.02508545@n03527444 holster@0.013961792@n04579432 whistle@0.004711151@93.92183
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/Armed-Fulani-herdsmen.jpg@n04090263 rifle@0.6538086@n02749479 assault rifle, assault gun@0.33398438@n02950826 cannon@0.003074646@n03763968 military uniform@0.002632141@n02879718 bow@0.00198555@93.581924
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/imag14es.jpeg@n04266014 space shuttle@0.30200195@n03773504 missile@0.21594238@n04008634 projectile, missile@0.19055176@n04347754 submarine, pigboat, sub, U-boat@0.06896973@n02749479 assault rifle, assault gun@0.040893555@93.85729
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/image8s.jpeg@n02749479 assault rifle, assault gun@0.9038086@n04090263 rifle@0.09234619@n04086273 revolver, six-gun, six-shooter@0.004184723@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.42935
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/image9s.jpeg@n04086273 revolver, six-gun, six-shooter@0.4675293@n04090263 rifle@0.27929688@n02749479 assault rifle, assault gun@0.23144531@n02966687 carpenter's kit, tool kit@0.009857178@n04141327 scabbard@0.0022354126@94.077515
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/image12s.jpeg@n02749479 assault rifle, assault gun@0.9199219@n04090263 rifle@0.077941895@n04086273 revolver, six-gun, six-shooter@0.0018320084@n04141327 scabbard@0.000108361244@n02879718 bow@7.271767E-05@94.01658
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/Luter-Guns.jpg@n02749479 assault rifle, assault gun@0.8540039@n04090263 rifle@0.1459961@n15075141 toilet tissue, toilet paper, bathroom tissue@0@n02317335 starfish, sea star@0@n02389026 sorrel@0@94.18127
/home/jorge/Pictures/Test_Images_for_Demo/New_Rifles/Tommy gun.jpg@n02749479 assault rifle, assault gun@0.80322266@n04090263 rifle@0.19689941@n04086273 revolver, six-gun, six-shooter@0.00039196014@n02328150 Angora, Angora rabbit@0@n02319095 sea urchin@0@93.38104
